OBJECTID,AUTOMAATNR,STRAATNAAM,ZONEBELPARKEREN,TARIEF,BETAALTIJDEN,X,Y,BUURTNR,WIJKNR,GEBIEDSNR,LON,LAT
28,9153,Rietgrachtstraat / Broekstraat,26082,1.75,ma t/m vr 09.00-18.00 uur,191458.731,443167.912,21,3,1,5.9178299,51.9757228
29,9152,Transformatorplein,26082,1.75,ma t/m vr 09.00-18.00 uur,191681.761,443182.79,39,3,1,5.9210774,51.9758418
30,9151,Thomas J Witteroosstraat,26082,1.75,ma t/m vr 09.00-18.00 uur,191618.241,443057.163,39,3,1,5.9201395,51.9747169
31,9150,Amperestraat,26082,1.75,ma t/m vr 09.00-18.00 uur,191563.135,443172.923,39,3,1,5.9193499,51.9757610
32,9149,Veilingstraat,26082,1.75,ma t/m vr 09.00-18.00 uur,191539.559,442862.884,39,3,1,5.9189738,51.9729759
33,9148,Van Verschuerplein,26082,1.75,ma t/m vr 09.00-18.00 uur,191535.938,443262.908,21,3,1,5.9189637,51.9765715
34,9093,Blekerstraat,26071,1.75,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,191373.436,443742.019,11,2,1,5.9166495,51.9808884
35,9060,Spijkerlaan,26071,1.75,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,191526.121,443941.263,11,2,1,5.9188931,51.9826691
36,9054,Steenstraat / Velperpoort,26075,"2,90",ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,191607.996,444142.169,11,2,1,5.9201063,51.9844694
37,9053,Steenstraat / Spijkerlaan,26075,"2,90",ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,191483.056,444101.479,11,2,1,5.9182833,51.9841120
38,9052,Steenstraat / Boekhorstenstraat,26075,"2,90",ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,191325.62,444052.23,11,2,1,5.9159864,51.9836796
39,9038,Dijkstraat,26071,1.75,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,191473.39,443671.631,12,2,1,5.9180969,51.9802492
40,9017,Boulevard Heuvelink zijde Spijkerkwartier,26071,1.75,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,191476.35,443467.915,12,2,1,5.9181183,51.9784180
41,9018,Boulevard Heuvelink / Brandweer,26071,1.75,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,191406.337,443436.083,12,2,1,5.9170959,51.9781365
42,9100,Bloemstraat,26061,1.75,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,191281.089,444201.059,10,2,1,5.9153539,51.9850202
43,9081,Ir. JP van Muijlwijkstraat / Hommelstraat,26061,1.75,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,191231.109,444127.944,10,2,1,5.9146187,51.9843663
44,9044,Ir. JP van Muijlwijkstraat / Velperplein,26061,1.75,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,191193.643,444077.409,10,2,1,5.9140680,51.9839146
45,9042,Hommelstraat / Oude Klarendalseweg,26061,1.75,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,191208.632,444218.65,10,2,1,5.9143011,51.9851830
46,9050,Sonsbeeksingel / van Hasseltstraat,26051,1.75,ma t/m za 09.00-18.00 uur,191125.721,444305.454,30,6,4,5.9131033,51.9859686
47,9040,Hommelseweg,26051,1.75,ma t/m za 09.00-18.00 uur,191205.409,444309.577,33,7,4,5.9142638,51.9860005
48,9140,Paul Krugerstraat,26041,2.90,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,190771.365,444425.21,60,12,4,5.9079575,51.9870679
49,9139,de Wetstraat,26041,2.90,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,190833.744,444334.549,60,12,4,5.9088561,51.9862491
50,9138,Sonsbeeksingel / de La Reijstraat,26041,2.90,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,190727.13,444239.006,60,12,4,5.9072941,51.9853972
51,9137,Bothaplein,26041,2.90,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,190684.795,444331.597,60,12,4,5.9066875,51.9862321
52,9136,Sonsbeekweg / Sonsbeekpark,26041,2.90,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,190671.604,444431.57,69,12,4,5.9065059,51.9871315
53,9135,Sonsbeekweg / de La Reijstraat,26041,2.90,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,190605.682,444341.622,60,12,4,5.9055369,51.9863273
54,9091,Sonsbeeksweg / Apeldoornseweg,26041,2.90,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,190734.829,444498.184,60,12,4,5.9074332,51.9877262
55,9089,Steynstraat,26041,2.90,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,190741.671,444317.34,60,12,4,5.9075140,51.9861003
56,9078,Cronjestraat,26041,2.90,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,190622.886,444262.034,60,12,4,5.9057791,51.9856109
57,9026,Sonsbeeksingel / Apeldoornseweg,26041,2.90,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,190906.858,444263.904,60,12,4,5.9099130,51.9856094
58,9105,Van Lawick van Pabststraat / van Eckstraat,26034,1.75,ma t/m za 09.00-18.00 uur,189787.523,444723.338,61,12,4,5.8936657,51.9898100
59,9095,Van Lawick van Pabststraat / Burg. Weerdstraat,26034,1.75,ma t/m za 09.00-18.00 uur,189744.117,444769.99,61,12,4,5.8930385,51.9902320
60,9131,Zijpendaalseweg / van Pallantstraat,26033,2.90,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,190222.922,444664.542,69,12,4,5.8999982,51.9892541
